id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
2990849012	20140731	1	900000000000207008	700508005	en	900000000000013009	Dental delivery system, stationary	900000000000020002
2990850012	20140731	1	900000000000207008	700508005	en	900000000000003001	Dental delivery system, stationary (physical object)	900000000000020002
2990851011	20140731	1	900000000000207008	700509002	en	900000000000013009	Dental drill extension	900000000000020002
2990852016	20140731	1	900000000000207008	700509002	en	900000000000003001	Dental drill extension (physical object)	900000000000020002
2990853014	20140731	1	900000000000207008	700510007	en	900000000000013009	Dental impression material syringe, reusable	900000000000020002
2990854015	20140731	1	900000000000207008	700510007	en	900000000000003001	Dental impression material syringe, reusable (physical object)	900000000000020002
2990855019	20140731	1	900000000000207008	700511006	en	900000000000013009	Dental restorative material cannula, reusable	900000000000020002
2990856018	20140731	1	900000000000207008	700511006	en	900000000000003001	Dental restorative material cannula, reusable (physical object)	900000000000020002
2990857010	20140731	1	900000000000207008	700512004	en	900000000000013009	Dental material mixing nozzle, non-sterile	900000000000020002
2990858017	20140731	1	900000000000207008	700512004	en	900000000000003001	Dental material mixing nozzle, non-sterile (physical object)	900000000000020002
2990859013	20140731	1	900000000000207008	700513009	en	900000000000013009	Dental restorative material applicator	900000000000020002
2990860015	20140731	1	900000000000207008	700513009	en	900000000000003001	Dental restorative material applicator (physical object)	900000000000020002
2990861016	20140731	1	900000000000207008	700514003	en	900000000000013009	Dermal hygrometer	900000000000020002
2990862011	20140731	1	900000000000207008	700514003	en	900000000000003001	Dermal hygrometer (physical object)	900000000000020002
2990863018	20140731	1	900000000000207008	700515002	en	900000000000013009	Bioabsorbable drug-eluting coronary artery stent	900000000000020002
2990864012	20140731	1	900000000000207008	700515002	en	900000000000003001	Bioabsorbable drug-eluting coronary artery stent (physical object)	900000000000020002
2990865013	20140731	1	900000000000207008	700516001	en	900000000000013009	Drug-eluting coronary artery stent, non-bioabsorbable-polymer-coated	900000000000020002
2990866014	20140731	1	900000000000207008	700516001	en	900000000000003001	Drug-eluting coronary artery stent, non-bioabsorbable-polymer-coated (physical object)	900000000000020002
2990867017	20140731	1	900000000000207008	700517005	en	900000000000013009	Drug-eluting coronary artery stent, carbon-coated	900000000000020002
2990868010	20140731	1	900000000000207008	700517005	en	900000000000003001	Drug-eluting coronary artery stent, carbon-coated (physical object)	900000000000020002
2990871019	20140731	1	900000000000207008	700519008	en	900000000000013009	Earphone cushion	900000000000020002
2990872014	20140731	1	900000000000207008	700519008	en	900000000000003001	Earphone cushion (physical object)	900000000000020002
2990873016	20140731	1	900000000000207008	700520002	en	900000000000013009	Earphone, circumaural	900000000000020002
2990874010	20140731	1	900000000000207008	700520002	en	900000000000003001	Earphone, circumaural (physical object)	900000000000020002
2990875011	20140731	1	900000000000207008	700521003	en	900000000000013009	Earphone, insert	900000000000020002
2990876012	20140731	1	900000000000207008	700521003	en	900000000000003001	Earphone, insert (physical object)	900000000000020002
2990877015	20140731	1	900000000000207008	700522005	en	900000000000013009	Earphone, supra-aural	900000000000020002
2990878013	20140731	1	900000000000207008	700522005	en	900000000000003001	Earphone, supra-aural (physical object)	900000000000020002
2990879017	20140731	1	900000000000207008	700523000	en	900000000000013009	Ear wick, biodegradable	900000000000020002
2990880019	20140731	1	900000000000207008	700523000	en	900000000000003001	Ear wick, biodegradable (physical object)	900000000000020002
2990881015	20140731	1	900000000000207008	700524006	en	900000000000013009	Ear wick, non-biodegradable	900000000000020002
2990882010	20140731	1	900000000000207008	700524006	en	900000000000003001	Ear wick, non-biodegradable (physical object)	900000000000020002
