id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
2950821011	20140109	1	900000000000207008	471269008	en	900000000000013009	Flat curve of Spee	900000000000017005
2950822016	20140109	1	900000000000207008	471269008	en	900000000000003001	Flat curve of Spee (finding)	900000000000017005
92417013	20140109	0	900000000000207008	55596003	en	900000000000013009	Loopogram	900000000000020002
2984839019	20140109	0	900000000000207008	52994003	en	900000000000013009	Pink tooth of mummery	900000000000020002
759b8d87-b6eb-421e-bf69-15f806d0c0b8	20140109	1	900000000000207008	52994003	en	900000000000013009	Pink tooth of Mummery	900000000000020002
9d6ada08-0b90-4ff4-8929-dc6aa4248af9	20140103	1	900000000000207008	427385009	en	900000000000013009	Triptorelin embonate	900000000000020002
839510019	20140117	0	900000000000207008	9537004	en	900000000000003001	Juvenile GM>2< gangliosidosis (disorder)	900000000000020002
16685013	20140117	0	900000000000207008	9537004	en	900000000000013009	Juvenile GM>2< gangliosidosis	900000000000020002
e657ab03-2a99-4e67-9eb7-70517c4c4cc9	20140117	1	900000000000207008	9537004	en	900000000000003001	Juvenile GM 2 gangliosidosis (disorder)	900000000000020002
c783fffc-26b9-42d1-a970-11268d583ae0	20140117	1	900000000000207008	9537004	en	900000000000013009	Juvenile GM 2 gangliosidosis	900000000000020002
117790011	20140109	0	900000000000207008	70911004	en	900000000000013009	Sciatic hernia	900000000000020002
2537397016	20140103	0	900000000000207008	414754009	en	900000000000013009	Finding of mould resembling coccidiodes immitis	900000000000020002
2537396013	20140103	0	900000000000207008	414754009	en	900000000000013009	Finding of mold resembling coccidiodes immitis	900000000000020002
301700015	20140126	0	900000000000207008	196123009	en	900000000000013009	(Fibrosing alveolitis: [idiopathic] or [cryptogenic]) or (Hamman - Rich syndrome)	900000000000020002
2749922019	20140126	0	900000000000207008	196123009	en	900000000000003001	(Fibrosing alveolitis: [idiopathic] or [cryptogenic]) or (Hamman - Rich syndrome) (disorder)	900000000000017005
