conceptid	snomedid
450898007	M-89751
450958009	R-FABC9
450895005	M-82653
450897002	M-85523
450913003	R-FABD3
450916006	R-FABCE
450917002	R-FABCA
450914009	M-98063
450915005	M-98073
450894009	M-81633
450902001	M-95091
450945008	R-FABD2
450946009	M-99913
450947000	M-99923
450948005	M-82133
450914009	M-98063
450899004	M-93953
450929006	M-98693
450909005	M-97353
450890000	M-81480
450954006	M-98163
450949002	M-98113
450897002	M-85523
450915005	M-98073
450948005	M-82133
450952005	M-98143
450894009	M-81633
450950002	M-98123
450912008	M-97593
450934005	M-98981
450910000	M-97373
450937003	M-99113
450940003	M-99653
450892008	M-81630
450900009	M-94311
450941004	M-99663
450898007	M-89751
450917002	M-98093
450902001	M-95091
450906003	M-97243
450595003	M-80770
450959001	M-96883
450951003	M-98133
450901008	M-94321
450896006	M-84801
450908002	M-97263
450953000	M-98153
450928003	M-98653
450946009	M-99913
450916006	M-98083
450947000	M-99923
450893003	M-81632
450907007	M-97253
450955007	M-98173
450942006	M-99673
450911001	M-97383
450935006	M-98983
450956008	M-98183
450891001	M-81581
450944007	M-99713
450943001	M-99711
450895005	M-82653
